Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL244783,,None,406.61,0,4.72,7a,C[C@H](C[C@H](C)C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,EC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL895769,Agonist activity at human FXR expressed in COS1 cells after 5 hrs by CRE-driven luciferase reporter gene assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,COS-1,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1148757,1,Scientific Literature,J Med Chem,2007,CHEMBL3308351,,,
CHEMBL466439,,None,554.04,2,8.63,1ag,CC(C)c1onc(COc2cccc3ccccc23)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',1200,nM,5.92,,,UO_0000065,,,,,0,CHEMBL974375,Agonist activity at human FXR transfected in african green monkey CV1 cells by luciferase reporter gene transient transfection assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CV-1,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3308033,,,
CHEMBL4097401,,None,327.43,0,4.85,32,Cc1ccc2nc(Cc3ccccc3)c(NCc3ccccc3)n2c1,EC50,,,,,,Not Active,,,,,,0,CHEMBL4040778,Transactivation of human FXR expressed in human HeLa cells co-expressing BSEP after 24 hrs by dual-glo luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL4038333,1,Scientific Literature,J Med Chem,2017,CHEMBL3308376,,,
CHEMBL4096700,,None,305.41,0,4.67,6,c1ccc(CNc2c(-c3cccs3)nc3ccccn23)cc1,EC50,'=',4000,nM,5.4,,,UO_0000065,17.67,0.34,0.73,18.4,0,CHEMBL4040778,Transactivation of human FXR expressed in human HeLa cells co-expressing BSEP after 24 hrs by dual-glo luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL4038333,1,Scientific Literature,J Med Chem,2017,CHEMBL3308376,,,
CHEMBL467906,,None,582.91,2,9.48,1ai,CC(C)c1onc([C@H]2C[C@@H]2c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',2000,nM,5.7,,,UO_0000065,9.78,0.2,-3.78,7.85,0,CHEMBL974378,Agonist activity at human FXR assessed as SRC1 peptide interaction with receptor ligand binding domain by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL466232,,None,566.48,2,8.75,1ae,Cc1cc(Cl)cc(C)c1OCc1noc(C(C)C)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',130,nM,6.89,,,UO_0000065,12.16,0.24,-1.86,8.42,0,CHEMBL974378,Agonist activity at human FXR assessed as SRC1 peptide interaction with receptor ligand binding domain by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL437481,,None,572.87,2,8.78,1z,CC(C)c1onc(COc2ccc(Cl)c(Cl)c2)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',1100,nM,5.96,,,UO_0000065,10.4,0.21,-2.82,7.29,0,CHEMBL974378,Agonist activity at human FXR assessed as SRC1 peptide interaction with receptor ligand binding domain by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL522153,,None,572.87,2,8.78,1y,CC(C)c1onc(COc2cc(Cl)ccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',1000,nM,6,,,UO_0000065,10.47,0.22,-2.78,7.34,0,CHEMBL974378,Agonist activity at human FXR assessed as SRC1 peptide interaction with receptor ligand binding domain by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL492963,,None,572.87,2,8.78,1x,CC(C)c1onc(COc2ccc(Cl)cc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',620,nM,6.21,,,UO_0000065,10.84,0.22,-2.57,7.59,0,CHEMBL974378,Agonist activity at human FXR assessed as SRC1 peptide interaction with receptor ligand binding domain by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL494195,,None,572.87,2,8.78,1w,CC(C)c1onc(COc2cccc(Cl)c2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',480,nM,6.32,,,UO_0000065,11.03,0.23,-2.46,7.73,0,CHEMBL974378,Agonist activity at human FXR assessed as SRC1 peptide interaction with receptor ligand binding domain by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL495365,,None,556.42,2,8.27,1u,CC(C)c1onc(COc2c(F)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',74,nM,7.13,,,UO_0000065,12.82,0.26,-1.14,8.72,0,CHEMBL974378,Agonist activity at human FXR assessed as SRC1 peptide interaction with receptor ligand binding domain by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL468939,,None,532.04,2,8.09,1t,Cc1cccc(C)c1OCc1noc(C(C)C)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',17,nM,7.77,,,UO_0000065,14.6,0.28,-0.32,9.5,0,CHEMBL974378,Agonist activity at human FXR assessed as SRC1 peptide interaction with receptor ligand binding domain by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
